,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score
2474,Browns,6.0,89.12186240000001,162.5237761,45_and_up,922.2302161,No,106.45165379999999,Yes,Male,After_16:00,0.619002776,0.8057568409999999,3393.0,106.6017456,92.60906053,267.9118775,481.25558229999996,21.03290763,10.32481213,12.607000000000001,9079.441853,Yes,29.93007538,1.401451756,5.470838636,72.5593982,29.70728747,70.0,Social,10.0,793.59456,3.0,Foot_or_bicycle,Hightech,Yes,0.0,19.92599777
47,Greys,3.0,159.0611322,22205.41105,Below_30,2874.180796,No,672.9783997999999,Yes,Female,After_16:00,0.569922811,0.44523050000000003,9806.0,419.5000885,11.88711284,5027.090143,619.8710447999999,39.44163111,20.48170131,2.194,52342.94137,No,175400.9756,5.554738212,418.8089966,4.965644935,53.02037739,30.0,Military,9.0,114.553706,1.0,Foot_or_bicycle,Hightech,No,0.0,507.09484100000003
9110,Greens,3.0,97.32366414,9302.544537,30-45,1094.874066,No,793.9222082,Yes,Female,By_16:00,0.73972874,0.700756927,6834.0,506.13874369999996,24.32340661,3879.78498,96.24778549,10.98804018,22.4975275,3.1660000000000004,59613.08637999999,Maybe,82225.9922,6.400800352,286.75074930000005,90.41784336,32.44122138,70.0,Social,11.0,244.49933,2.0,Public_or_other,Student_or_Unemployed,No,0.0,619.4445279
9281,Turquoises,3.0,541.4791434,74429.4521,30-45,32768.233360000006,No,624.483938,Yes,Female,After_16:00,0.819945446,0.587376817,3459.0,401.7004477,51.2527057,4927.075076,,57.92797667,20.04246611,6.541,49345.25441,Yes,170046.8874,6.842578200000001,412.36741800000004,82.86372505,180.4930478,100.0,Education,,143.3249125,1.0,Foot_or_bicycle,Industry_or_other,Yes,2.0,443.4335864
2201,Browns,1.0,347.1201753,14308.21971,30-45,13513.75296,Yes,215.7072602,Yes,Male,After_16:00,0.33014595,0.958491207,3035.0,199.0409439,69.39566694,1634.675499,935.5564063999999,9.514800925,14.10818712,12.965,19138.890480000002,Maybe,15291.6376,8.696507851,123.65936119999999,94.42184393,115.7067251,60.0,Financial,8.0,660.4113165,2.0,Motorcycle_or_truck,Services_or_Retail,No,1.0,48.40894926
2618,Whites,10.0,543.3541245,88537.58913,Below_30,32994.863,Yes,671.6809857000001,Yes,Male,By_16:00,0.240651505,0.958844815,4731.0,438.6924353,86.39543012,5765.776352000001,390.37804769999997,54.20272967,20.94498592,5.269,53892.45877999999,No,238963.7128,2.154779115,488.8391482,9.5689215,181.1180415,60.0,Financial,7.0,76.31370851,2.0,Motorcycle_or_truck,Hightech,Yes,0.0,455.94775819999995
4965,Browns,2.0,258.9918727,343.5712111,Below_30,7549.307304999999,Yes,132.19906809999998,Yes,Female,After_16:00,0.33672139799999995,0.576394105,5065.0,94.46678113,76.89362089,228.7307042,622.684666,,9.719402302999999,10.935,9776.923342,Yes,15.8381251,0.598673173,3.9797141989999996,27.14158106,86.33062423,90.0,Environment,14.0,758.7392,2.0,Car,Industry_or_other,No,0.0,93.56198742
9699,Turquoises,3.0,508.0923596,59765.34965,45_and_up,28863.569219999998,Yes,761.5272664,Yes,Male,By_16:00,0.36749149299999995,0.9091124629999999,5361.0,487.0447761,41.87298371,4502.897761,556.7739026,90.39633097,22.06909097,4.638999999999999,58205.90479,Yes,124524.8737,5.624684393,352.8808209,23.36847929,169.3641199,100.0,Education,12.0,166.003593,1.0,Public_or_other,Industry_or_other,No,0.0,575.7977716
6380,Browns,9.0,251.3012845,82419.65329,30-45,7110.693273000001,No,1288.6545039999999,No,Female,After_16:00,0.501084331,0.939877108,9332.0,843.3139103,67.01345949,11525.77211,25.94522783,69.52034966,29.039867600000004,6.667999999999999,104030.56300000001,Yes,968087.6035,1.616990091,983.9144289999999,1.8078119730000002,83.76709484,70.0,Social,10.0,695.3331252,1.0,Motorcycle_or_truck,Services_or_Retail,No,2.0,862.5610837000002
1608,Reds,9.0,787.8257161,131603.4276,Below_30,69235.87067999999,Yes,696.8301263,No,Male,After_16:00,0.209175102,0.767012473,8861.0,389.39167010000006,16.52907534,5790.174497999999,584.4787275,85.81295391,19.73300966,3.139,53298.82931,Yes,251140.4134,6.374124857000001,501.13911579999996,10.00620071,262.60857200000004,40.0,Foreign_Affairs,9.0,144.2110408,3.0,Public_or_other,Hightech,No,0.0,592.5274232
