,Avg_education_importance,Is_Most_Important_Issue__6,Overall_happiness_score,Avg_monthly_household_cost,Avg_Satisfaction_with_previous_vote,Avg_size_per_room,Number_of_differnt_parties_voted_for,Phone_minutes_10_years,Political_interest_Total_Score,Avg_monthly_expense_on_pets_or_plants,Married,Weighted_education_rank,Is_Most_Important_Issue__5,Is_Most_Important_Issue__3,Avg_environmental_importance,Last_school_grades,Avg_Residancy_Altitude,Vote
8977,-0.243991115,0,0.023522782,-0.268336592,-0.224679624,-0.388775478,1.589135552,-0.37327911,-0.765095092,-0.838527077,1,-0.176990038,0,0,-0.212841366,0.714285714,-0.176654244,9
5982,0.937345536,0,-0.12677804,0.662142911,-0.42309683,0.989108254,-1.426209919,-0.254704903,-0.646019008,-0.907055062,1,-0.023741009,0,1,0.536246052,-0.714285714,0.32505024,3
1129,-0.216411136,0,-0.259563958,-0.640443827,1.827058228,-0.360897905,1.589135552,-0.639007373,0.468440974,-0.696086554,1,-0.756143939,0,0,-0.607167784,1,-1.273967368,1
5573,0.312740317,0,0.48449398,0.305807027,-0.334130101,0.213690032,-0.672373551,-0.495673567,0.013593035,-0.984955124,1,-0.373315014,1,0,0.526965213,-1,-0.458152804,5
2582,0.038355762,0,0.020020836,-0.098748798,0.065761586,-0.093681737,0.081462816,-0.43209389,-0.784450976,-0.993473958,1,-0.264759697,0,0,-0.048187232,0.714285714,-0.298572699,9
505,0.498346843,0,-0.280223637,0.181814631,-0.113394782,0.433123976,-1.803128103,-0.300180011,-0.774634608,-0.99949006,1,-0.079493793,1,0,0.049077922,-1,0.13418164,3
7505,0.872434817,0,0.102926693,0.52799831,-0.035739974,0.903625423,-1.049291735,-0.575297941,-0.01798159,-0.427112986,1,-0.544381255,1,0,0.593488128,-1,-0.678263482,5
3194,-0.077817491,0,-0.133483796,-0.217180293,-0.357671125,-0.217703074,-1.426209919,-0.349988221,-0.885550499,-0.740504313,1,-0.144718597,0,0,-0.237725854,0.428571429,-0.08917295,4
7764,0.382149403,1,0.122550654,0.433893477,-0.032071243,0.294661553,-0.672373551,0.085157535,-0.568275205,-0.703501966,-1,0.3203901,0,0,0.381766467,-0.428571429,0.873646685,8
937,-1.215718281,0,-0.677918245,-1.374721427,1.606628636,-1.240039043,1.589135552,-0.608573892,1.007416401,-0.756301993,1,-0.639141032,0,0,-1.428568674,0.714285714,-1.185553314,1
1177,-0.647005742,0,0.113890172,-0.555509123,-0.50289173,-0.772737023,-0.295455367,-0.48977496,-0.198123275,-0.943347757,1,-0.36246557,0,0,-0.403966717,0.714285714,-0.588013878,11
